1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,MAX-SEC,SEC-TRD,TRD-FRT,Label2,Label1,rejection_pre,recognition
8316.559382,6776.1596420000005,6478.047597,6673.275984000001,6961.547309999999,6831.1971140000005,7090.983411,7532.426191,6830.183478,6817.122898999999,6795.634827,6498.848885,6767.673999,6529.218992,6763.059451000001,6281.04929,6554.0651100000005,6922.474787,6862.782813,6956.477303,7470.935552,7022.07753,6631.578035,6676.3727229999995,6918.986636,6879.243815999999,784.133191,61.490639,379.95214100000004,1,1.0,1,1
6998.600481,5581.782319,5405.87483,5405.154852000001,5757.925903,5573.513388,5714.877956,6183.972731,5518.1412789999995,5401.4529600000005,5478.327957,5114.033709,5340.740122,5544.046747,5496.2169539999995,5009.797431,5305.556570000001,5548.29778,5575.905084,5758.413541,6000.785388,5692.145379,5558.494025999999,5306.894296,5462.83351,5596.038703,814.62775,183.187343,242.37184700000003,1,1.0,1,1
7583.064987000001,6565.452941,6155.479814,6310.886399,6719.063638,6474.652057,6649.86024,7005.192976,6411.29753,6311.665463,6369.6085219999995,6232.036876,6122.202102,6350.655661,6397.177522,6118.573046,6172.107315,6407.635096,6473.8967600000005,6177.935659000001,6355.753399,6544.431425,6504.354577,6152.6708,6177.970257999999,6290.416696,577.872011,286.12933799999996,69.20339799999999,1,1.0,1,1
9030.981231,7589.657743000001,7339.033766,7481.706336,8155.605858,7812.514681000001,7979.471616,8114.266892000001,7719.846763,7463.112712,7678.8886219999995,7277.786877,7601.257685,7307.512843,7549.045834999999,7189.152563,7261.891029,7417.846353,7654.533156999999,8263.979254,8249.485083,7654.551479000001,7332.130168000001,7521.219005,7760.946951000001,7648.246885,767.001977,14.494171,93.879225,1,1.0,1,1
5953.385828,5030.113558,4748.375687,4863.086592000001,5158.087565,4881.836851,5019.391204,5221.094985,4756.598049,4898.881013,4957.722632,4649.401982,5149.064564,4921.299017,5038.613881,4361.652520000001,4567.584558,4791.864696,4906.192305,5206.459336999999,5240.952681000001,5107.579235,4696.480357,4700.807974,4924.218868,5074.393054,712.433147,19.857696,14.635648000000002,1,1.0,1,1
5565.063949,4518.768496,4471.223161,4607.233343,4897.915385,4357.272948,4701.008936,4888.680765,4450.884555,4439.173681,4552.102472,4311.854300999999,4405.65183,4505.376564,4611.060141,4058.583779,4359.6014270000005,4504.109127000001,4701.534399,4492.672228,4842.57467,4585.380179,4785.769188,4315.805033,4372.264125,4748.088890999999,667.148564,9.23462,46.106095,1,1.0,1,1
4221.230318999999,3466.559801,3195.3362620000003,3237.201742,3282.406437,3083.340668,3577.048522,3687.3145,3154.970681,3342.48733,3320.255468,3067.425642,3060.8387510000002,3287.440852,3282.6343859999997,3259.4110960000003,3160.949778,3372.7664170000003,3412.480503,3077.369701,3495.124026,3386.9643509999996,3339.6361039999997,3203.2190140000002,3275.773051,3309.555111,533.915819,110.265978,81.92449599999999,1,1.0,1,1
5755.279325,4657.894892,4446.285068,4772.399581000001,4527.782765,4755.623021,4878.496263,5113.455144,4609.294750999999,4485.937424000001,4586.057196,4364.4220829999995,4479.444435,4574.129109,4677.823884,4125.937615999999,4440.767282,4508.594014,4694.42737,4549.235708,4928.437553,4849.290507,4763.146468,4406.868077,4472.8086840000005,4805.559566,641.824181,185.01759099999998,49.94129,1,1.0,1,1
11275.091559999999,9712.486822,9147.204371,9347.48491,9988.526904,9559.948476000001,9866.199775,10333.981440000001,9909.141398,9502.610689,9656.154384,9385.564009,9374.512141,9348.321792,9517.786925,9130.715257,9207.567998,9364.773704000001,9874.294649,9683.297494,10195.27175,9887.213061,9644.285453,9683.162695,9673.117042,9906.595603,941.1101199999999,138.709689,206.744843,1,1.0,1,1
5407.282518999999,4500.097585,4322.5322479999995,4600.128231000001,4572.445309000001,4335.448847,4877.370667,4968.416011,4591.8618719999995,4526.946207,4352.335213,4176.692068,4352.93866,4495.1596850000005,4345.679952,4103.456528,4432.368575,4262.702393,4602.933011,4208.600735,4696.634254,4618.658432,4707.741287,4278.002472,4183.206588,4637.591418999999,438.866508,91.045344,169.62938,1,1.0,1,1
7567.725606999999,6077.559805,5971.3189950000005,6200.577692,6623.483643,5988.760616,6564.048452,6748.516809999999,6102.520345,6044.5249189999995,6051.184311999999,5698.110764999999,6021.257055,6139.200137,6205.903077,5620.931068,5803.30214,6130.118205,6200.28797,6613.6788719999995,6906.186468000001,6370.286452,6267.588208,5821.223103,6259.628432,6287.3914509999995,661.539139,157.669658,125.03316699999999,1,1.0,1,1
6781.251675,5590.1064240000005,5462.539085,5499.881067,5750.378197,5509.040077000001,5718.0890899999995,6112.044888,5542.903616,5477.81444,5389.045846,5291.916187,5422.447809,5646.070682,5468.726553,5233.48369,5347.743526,5522.417786,5552.519035,5613.192554,5992.257755,5892.489488,5658.993095000001,5649.567588,5425.770823,5854.600708,669.206787,119.78713300000001,99.76826700000001,1,1.0,1,1
6919.7346370000005,5709.752867,5686.153652,5644.73719,6113.740014999999,5698.42802,5907.105835,6167.958264,5751.174693,5664.22134,5709.5801,5410.313959,5738.248294,5746.956544,5682.227802,5374.946661999999,5392.666684000001,5702.919793,5709.884537,5992.848107,6327.700411,5984.965572,5782.800046,5609.936914,5880.146358,5908.3045,592.034226,159.742147,54.218249,1,1.0,1,1
