1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,MAX-SEC,SEC-TRD,TRD-FRT,Label
7262.659137,6139.24392,5877.753347,5882.558718,6146.399507,5849.307693,6174.040783,6617.826841,5872.26362,5892.169204,5823.092368,5446.576532,5583.073343,5651.946563,5928.715537,5541.341079,5780.222578,5705.23986,6196.225421,5814.730153,6239.603785,6079.917137,6197.892119,5655.606648,5590.119065,6096.638779,644.832296,378.223056,41.711666,1
8537.438528,7361.195226,7155.704991,7057.713841,7186.496529,7101.580847,7353.228952,7809.586786,7176.154765,6881.719828,7684.190084,6782.333738,6848.447008,6548.125951,7020.96998,6857.967574,7089.522354,6957.14864,7486.090258,7167.469244,7685.402583,7484.472506,7247.677763,7296.776158,7253.936435,7232.975306,727.851742,124.184203,1.212499,1
5868.14865,4861.87945,4553.352529,4440.060633,4717.109786,4668.923073,4876.548528,5075.786536,4650.040484,4496.847368,4707.589515,4206.532875,4225.168062,4528.15308,4670.728621,4252.389435,4690.16136,4564.01323,4938.673005,4507.313788,4867.259783,4771.746542,4912.077538,4504.074243,4440.030146,4587.424571,792.362114,137.113531,26.595467,1
5071.167833,4188.150841,3967.538563,3886.593956,4359.763387,4015.898398,3983.522602,4276.117848,3971.61333,3982.813706,3971.369348,3764.77495,3852.378098,3988.074405,4070.143833,3671.447481,3853.3949,4154.89365,4160.420648,3976.128582,4446.971052,4023.505539,3980.607385,3925.780639,3987.382743,4215.12704,624.196781,87.207665,83.645539,1
5226.034963,4397.140069,4103.342716,4182.33133,4377.875146,4055.154861,4451.148451,4556.252454,4169.959221,4216.101274,4156.473752,3853.74614,3820.478224,4231.578275,4311.386092,3756.871298,4111.318296,4117.591478,4422.40634,4008.076145,4456.93581,4259.432069,4675.098787,3863.488194,3813.33186,4149.622132,550.936176,118.846333,99.316644,1
8663.00878,7281.564731,6779.991492,7136.306736,7454.653325,7070.018956,7494.352318,7829.600345,7244.549093,6991.819903,7082.821648,6762.317334,7124.721286,6943.899557,7310.981529,7027.464778,7111.319069,7030.399786,7403.546782,7241.308058,7695.758576,7428.854026,7646.406758,6974.344219,7137.832714,7107.558244,833.408435,133.841769,49.351818,1
5619.206566,4709.456022,4624.34396,4700.780722,4768.971702,4660.036327,4868.844959,5027.171241,4721.159521,4653.35563,4523.413892,4308.433976,4476.015392,4552.458516,4516.154205,4291.526961,4547.277375,4538.467114,4868.588233,4718.641768,4884.893838,4830.900101,4809.714036,4453.75702,4357.131046,4562.238959,592.035325,142.277403,16.048879,1
4929.060608,4399.809454,4161.75113,4247.997471,4173.894276,3906.2484,4332.562137,4461.731424,4083.683626,4143.935541,4078.550133,3913.925582,3848.219416,4329.528872,4050.55241,3931.400409,3975.700319,4051.583197,4476.777657,4003.600807,4170.094207,4150.711153,4316.708035,3882.777998,3964.684901,3959.081299,452.282951,15.046233,61.92197,1
8187.253622,6811.027097,6497.833961,6471.880137,7137.389676,6718.640758,7071.827673,7255.012619,6776.887156,6580.791033,6652.949432,6232.438952,6469.727927,6421.654868,6756.631783,6393.442178,6555.793217,6628.165805,6833.195944,6639.987773,7028.564017,6864.512175,6911.29665,6480.239236,6343.759612,6612.760547,932.241003,117.622943,65.562003,1
8924.819217,7528.294485,7145.778835,7301.334084,7823.555163,7299.926464,7464.376254,8297.927502,7396.453261,7222.025417,7206.014651,7078.382947,7003.084486,7247.533792,7536.00743,6917.971836,7170.530523,7200.350785,7456.086619,7481.623572,7642.782988,7517.96845,7658.865076,7159.906667,7069.124423,7381.034911,626.891715,474.372339,164.690087,1
